epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2984,1.05863,2.20065,1.20036,0.45233,0.45912,0.47095,0.28669,1.3386,2.30774,1.31075,0.00038341,0.00038341,0.00038341
2,142.966,1.06952,1.41609,1.1864,0.98943,0.46855,0.50587,0.32177,1.23395,1.91059,1.25706,0.000767977,0.000767977,0.000767977
3,212.801,1.05212,1.21582,1.17387,0.98717,0.47799,0.50534,0.31217,1.38002,1.67097,1.38096,0.0011367,0.0011367,0.0011367
4,282.044,1.0729,1.11494,1.17404,0.47459,0.53742,0.53033,0.31738,1.45639,1.47404,1.4559,0.00148958,0.00148958,0.00148958
5,350.992,1.12054,1.07382,1.17282,0.65197,0.60919,0.61188,0.35259,1.39754,1.33816,1.42978,0.00153497,0.00153497,0.00153497
6,420.137,1.10833,0.9846,1.1685,0.66998,0.71754,0.64754,0.3883,1.31629,1.23316,1.3279,0.00150197,0.00150197,0.00150197
7,489.163,1.08129,0.90737,1.17628,0.62894,0.77611,0.65717,0.40761,1.34675,1.13126,1.37647,0.00146896,0.00146896,0.00146896
8,558.235,1.04984,0.84195,1.15588,0.83177,0.78113,0.80177,0.47295,1.31127,1.08832,1.28909,0.00143595,0.00143595,0.00143595
9,627.513,1.112,0.86469,1.17645,0.89294,0.76087,0.86796,0.46557,1.36582,0.97862,1.36291,0.00140295,0.00140295,0.00140295
10,696.787,1.10084,0.84119,1.18211,0.73007,0.82799,0.82581,0.50138,1.35126,0.96036,1.37422,0.00136994,0.00136994,0.00136994
11,766.228,1.10534,0.77061,1.17367,0.70962,0.72799,0.71696,0.40142,1.41269,0.97582,1.41499,0.00133693,0.00133693,0.00133693
12,835.537,1.11616,0.77383,1.18071,0.89655,0.76005,0.83093,0.48151,1.37505,0.99719,1.38306,0.00130393,0.00130393,0.00130393
13,904.791,1.12068,0.77966,1.19004,0.91149,0.88113,0.90645,0.47787,1.35005,0.9336,1.37336,0.00127092,0.00127092,0.00127092
14,974.348,1.06118,0.73708,1.17236,0.96228,0.78428,0.89581,0.49988,1.38598,0.91504,1.37382,0.00123791,0.00123791,0.00123791
15,1043.72,1.03827,0.70198,1.13845,0.98677,0.8237,0.87814,0.50372,1.38803,0.93347,1.36519,0.00120491,0.00120491,0.00120491
16,1113.83,1.03681,0.69461,1.13681,0.82834,0.72692,0.79162,0.4804,1.38219,0.91727,1.37251,0.0011719,0.0011719,0.0011719
17,1183.24,1.07707,0.68334,1.16537,0.91206,0.83428,0.89441,0.54519,1.33704,0.79061,1.33628,0.00113889,0.00113889,0.00113889
18,1253.01,1.05748,0.69587,1.14428,0.96112,0.88742,0.93433,0.58344,1.3353,0.79542,1.30124,0.00110589,0.00110589,0.00110589
19,1322.55,1.02703,0.65878,1.1274,0.91939,0.83428,0.92426,0.59231,1.29714,0.79498,1.30349,0.00107288,0.00107288,0.00107288
20,1391.86,1.00836,0.64874,1.10548,0.83071,0.88428,0.82997,0.5252,1.32176,0.86503,1.35422,0.00103987,0.00103987,0.00103987
21,1461.38,1.00037,0.65224,1.13692,0.97678,0.73113,0.83013,0.53409,1.2871,0.81054,1.32277,0.00100687,0.00100687,0.00100687
22,1532.39,1.02054,0.65817,1.12963,0.99776,0.87913,0.91131,0.59373,1.25255,0.72191,1.28944,0.000973861,0.000973861,0.000973861
23,1602.39,0.96999,0.60491,1.10732,0.98242,0.87263,0.90446,0.60196,1.31363,0.74505,1.33167,0.000940855,0.000940855,0.000940855
24,1671.56,1.00389,0.62051,1.13047,0.91727,0.88428,0.90265,0.59255,1.32581,0.73129,1.35352,0.000907848,0.000907848,0.000907848
25,1741.3,0.97616,0.59523,1.10103,0.97032,0.87215,0.92679,0.60589,1.29169,0.76237,1.31303,0.000874842,0.000874842,0.000874842
26,1810.61,0.96257,0.5834,1.10309,0.9369,0.88428,0.91663,0.59469,1.26438,0.77526,1.30593,0.000841835,0.000841835,0.000841835
27,1880.68,0.93955,0.56567,1.09174,0.98551,0.88428,0.89659,0.58363,1.27584,0.74605,1.3265,0.000808828,0.000808828,0.000808828
28,1951.45,0.94777,0.57494,1.0985,0.99673,0.86859,0.92984,0.62674,1.24583,0.67112,1.29864,0.000775822,0.000775822,0.000775822
29,2027.87,0.96123,0.5802,1.10452,0.98467,0.88285,0.92284,0.61869,1.30581,0.70311,1.36034,0.000742815,0.000742815,0.000742815
30,2101.05,0.97196,0.57254,1.09895,0.96314,0.83426,0.93802,0.63031,1.32864,0.72067,1.38939,0.000709809,0.000709809,0.000709809
31,2174.04,0.97156,0.57223,1.09589,0.89359,0.93742,0.9535,0.62812,1.26942,0.6557,1.29825,0.000676802,0.000676802,0.000676802
32,2244.69,0.94306,0.58451,1.09696,0.93658,0.88425,0.93951,0.64988,1.2913,0.6633,1.30855,0.000643795,0.000643795,0.000643795
33,2315.26,0.95524,0.5856,1.11574,0.99486,0.93361,0.97554,0.64676,1.26554,0.62152,1.29165,0.000610789,0.000610789,0.000610789
